date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:21:10	109/109	---MC-	200	added ('OK')	text/plain	date:Wed,%2015%20Jan%202025%2009:21:06%20GMT	https://mapus.io/robots.txt		(from )
16:21:11	104788/104788	---MC-	200	added ('OK')	text/html	date:Wed,%2015%20Jan%202025%2009:21:06%20GMT	https://mapus.io/	C:/Users/NGHIATHE/Documents/Code/Survey/mapus.io/index.html	(from )
16:21:12	98903/98903	---M-Z	200	added ('OK')	application/javascript	etag:%2218257-62909654513aa-gzip%22	https://cdn-cookieyes.com/client_data/7d4bd2ff95d5e79db273e486/script.js	C:/Users/NGHIATHE/Documents/Code/Survey/cdn-cookieyes.com/client_data/7d4bd2ff95d5e79db273e486/script.js	(from https://mapus.io/)
16:21:13	70/70	---M--	200	added ('OK')	text/css	etag:%2246-61563578b6326%22	https://mapus.io/wp-content/plugins/activecampaign-subscription-forms/activecampaign-form-block/build/style-index.css?ver=1712366274	C:/Users/NGHIATHE/Documents/Code/Survey/mapus.io/wp-content/plugins/activecampaign-subscription-forms/activecampaign-form-block/build/style-index6220.css	(from https://mapus.io/)
16:21:14	1004/1004	---MC-	200	added ('OK')	application/rss+xml	etag:%229487edb873e845dd107aad4ac4eddff6%22	https://mapus.io/feed/	C:/Users/NGHIATHE/Documents/Code/Survey/mapus.io/feed/index.html	(from https://mapus.io/)
16:21:14	673/673	---MC-	200	added ('OK')	application/rss+xml	etag:%229487edb873e845dd107aad4ac4eddff6%22	https://mapus.io/comments/feed/	C:/Users/NGHIATHE/Documents/Code/Survey/mapus.io/comments/feed/index.html	(from https://mapus.io/)
16:21:15	985/985	---M--	200	added ('OK')	text/css	etag:%223d9-62baa6b6cf88c%22	https://mapus.io/wp-content/plugins/addon-elements-for-elementor-page-builder/assets/lib/peel/peel.css?ver=1.14	C:/Users/NGHIATHE/Documents/Code/Survey/mapus.io/wp-content/plugins/addon-elements-for-elementor-page-builder/assets/lib/peel/peeld50e.css	(from https://mapus.io/)
16:21:15	225727/225727	---M--	200	added ('OK')	text/css	etag:%22371bf-62baa6b6cad3b%22	https://mapus.io/wp-content/plugins/addon-elements-for-elementor-page-builder/assets/css/eae.min.css?ver=1.14	C:/Users/NGHIATHE/Documents/Code/Survey/mapus.io/wp-content/plugins/addon-elements-for-elementor-page-builder/assets/css/eae.mind50e.css	(from https://mapus.io/)
16:21:15	26702/26702	---M--	200	added ('OK')	text/css	etag:%22684e-62b1dac26c136%22	https://mapus.io/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min.css?ver=1.0	C:/Users/NGHIATHE/Documents/Code/Survey/mapus.io/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min5152.css	(from https://mapus.io/)
16:21:16	9503/9503	---M--	200	added ('OK')	text/css	etag:%22251f-62baa6b6d0044%22	https://mapus.io/wp-content/plugins/addon-elements-for-elementor-page-builder/assets/lib/vegas/vegas.min.css?ver=2.4.0	C:/Users/NGHIATHE/Documents/Code/Survey/mapus.io/wp-content/plugins/addon-elements-for-elementor-page-builder/assets/lib/vegas/vegas.min8d5a.css	(from https://mapus.io/)
16:21:16	59344/59344	---M--	200	added ('OK')	text/css	etag:%22e7d0-62b1dac26ba2d%22	https://mapus.io/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=1.0	C:/Users/NGHIATHE/Documents/Code/Survey/mapus.io/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min5152.css	(from https://mapus.io/)
16:21:16	5756/5756	---M--	200	added ('OK')	text/css	etag:%22167c-61b2690dce9ae%22	https://mapus.io/wp-content/themes/hello-elementor/style.min.css?ver=3.0.2	C:/Users/NGHIATHE/Documents/Code/Survey/mapus.io/wp-content/themes/hello-elementor/style.min5b75.css	(from https://mapus.io/)
